,raceId,driverId,constructorId,position,points,year,wins
0,18,1,1,1,10.0,2008,1
1,18,2,2,2,8.0,2008,0
2,18,3,3,3,6.0,2008,0
3,18,4,4,4,5.0,2008,0
4,18,5,1,5,4.0,2008,0
5,18,6,3,6,3.0,2008,0
6,18,7,5,7,2.0,2008,0
7,18,8,6,8,1.0,2008,0
8,19,8,6,1,10.0,2008,1
9,19,9,2,2,8.0,2008,0
10,19,5,1,3,6.0,2008,0
11,19,15,7,4,5.0,2008,0
12,19,1,1,5,4.0,2008,1
13,19,2,2,6,3.0,2008,0
14,19,17,9,7,2.0,2008,0
15,19,4,4,8,1.0,2008,0
16,19,14,9,9,0.0,2008,0
17,19,18,11,10,0.0,2008,0
18,19,12,4,11,0.0,2008,0
19,19,21,10,12,0.0,2008,0
20,19,22,11,13,0.0,2008,0
21,19,3,3,14,0.0,2008,0
22,19,19,8,15,0.0,2008,0
23,19,11,8,16,0.0,2008,0
24,19,6,3,17,0.0,2008,0
25,19,7,5,\N,0.0,2008,0
26,20,13,6,1,10.0,2008,1
27,20,8,6,2,8.0,2008,1
28,20,9,2,3,6.0,2008,0
29,20,2,2,4,5.0,2008,0
30,20,5,1,5,4.0,2008,0
31,20,15,7,6,3.0,2008,0
32,20,17,9,7,2.0,2008,0
33,20,3,3,8,1.0,2008,0
34,20,10,7,9,0.0,2008,0
35,20,4,4,10,0.0,2008,0
36,20,22,11,11,0.0,2008,0
37,20,21,10,12,0.0,2008,0
38,20,1,1,13,0.0,2008,1
39,20,6,3,14,0.0,2008,0
40,20,7,5,15,0.0,2008,0
41,20,19,8,16,0.0,2008,0
42,20,11,8,17,0.0,2008,0
43,20,14,9,18,0.0,2008,0
44,20,16,10,19,0.0,2008,0
45,20,12,4,\N,0.0,2008,0
46,20,18,11,\N,0.0,2008,0
47,21,8,6,1,10.0,2008,2
48,21,13,6,2,8.0,2008,1
49,21,1,1,3,6.0,2008,1
50,21,9,2,4,5.0,2008,0
51,21,17,9,5,4.0,2008,0
52,21,18,11,6,3.0,2008,0
53,21,6,3,7,2.0,2008,0
54,21,15,7,8,1.0,2008,0
55,21,2,2,9,0.0,2008,0
56,21,21,10,10,0.0,2008,0
57,21,10,7,11,0.0,2008,0
58,21,14,9,12,0.0,2008,0
59,21,11,8,13,0.0,2008,0
60,21,3,3,\N,0.0,2008,0
61,21,4,4,\N,0.0,2008,0
62,21,22,11,\N,0.0,2008,0
63,21,5,1,\N,0.0,2008,0
64,21,19,8,\N,0.0,2008,0
65,21,7,5,\N,0.0,2008,0
66,21,12,4,\N,0.0,2008,0
67,21,16,10,\N,0.0,2008,0
68,22,13,6,1,10.0,2008,2
69,22,1,1,2,8.0,2008,1
70,22,8,6,3,6.0,2008,2
71,22,9,2,4,5.0,2008,0
72,22,2,2,5,4.0,2008,0
73,22,4,4,6,3.0,2008,0
74,22,17,9,7,2.0,2008,0
75,22,3,3,8,1.0,2008,0
76,22,14,9,9,0.0,2008,0
77,22,15,7,10,0.0,2008,0
78,22,18,11,11,0.0,2008,0
79,22,5,1,12,0.0,2008,0
80,22,10,7,13,0.0,2008,0
81,22,22,11,14,0.0,2008,0
82,22,12,4,15,0.0,2008,0
83,22,16,10,16,0.0,2008,0
84,22,20,5,17,0.0,2008,0
85,22,7,5,\N,0.0,2008,0
86,22,6,3,\N,0.0,2008,0
87,22,21,10,\N,0.0,2008,0
88,23,1,1,1,10.0,2008,2
89,23,9,2,2,8.0,2008,0
90,23,13,6,3,6.0,2008,2
91,23,17,9,4,5.0,2008,0
92,23,20,5,5,4.0,2008,0
93,23,22,11,6,3.0,2008,0
94,23,6,3,7,2.0,2008,0
95,23,5,1,8,1.0,2008,0
96,23,8,6,9,0.0,2008,2
97,23,4,4,10,0.0,2008,0
98,23,18,11,11,0.0,2008,0
99,23,10,7,12,0.0,2008,0
100,23,15,7,13,0.0,2008,0
101,23,2,2,14,0.0,2008,0
102,23,16,10,\N,0.0,2008,0
103,23,3,3,\N,0.0,2008,0
104,23,12,4,\N,0.0,2008,0
105,23,21,10,\N,0.0,2008,0
106,23,14,9,\N,0.0,2008,0
107,23,7,5,\N,0.0,2008,0
108,24,9,2,1,10.0,2008,1
109,24,2,2,2,8.0,2008,0
110,24,14,9,3,6.0,2008,0
111,24,10,7,4,5.0,2008,0
112,24,13,6,5,4.0,2008,2
113,24,15,7,6,3.0,2008,0
114,24,22,11,7,2.0,2008,0
115,24,20,5,8,1.0,2008,0
116,24,5,1,9,0.0,2008,0
117,24,3,3,10,0.0,2008,0
118,24,18,11,11,0.0,2008,0
119,24,17,9,12,0.0,2008,0
120,24,7,5,13,0.0,2008,0
121,24,21,10,\N,0.0,2008,0
122,24,6,3,\N,0.0,2008,0
123,24,4,4,\N,0.0,2008,0
124,24,12,4,\N,0.0,2008,0
125,24,8,6,\N,0.0,2008,2
126,24,1,1,\N,0.0,2008,2
127,24,16,10,\N,0.0,2008,0
128,25,13,6,1,10.0,2008,3
129,25,8,6,2,8.0,2008,2
130,25,15,7,3,6.0,2008,0
131,25,5,1,4,5.0,2008,0
132,25,9,2,5,4.0,2008,1
133,25,17,9,6,3.0,2008,0
134,25,12,4,7,2.0,2008,0
135,25,4,4,8,1.0,2008,0
136,25,14,9,9,0.0,2008,0
137,25,1,1,10,0.0,2008,2
138,25,10,7,11,0.0,2008,0
139,25,20,5,12,0.0,2008,0
140,25,2,2,13,0.0,2008,0
141,25,22,11,14,0.0,2008,0
142,25,6,3,15,0.0,2008,0
143,25,3,3,16,0.0,2008,0
144,25,7,5,17,0.0,2008,0
145,25,21,10,18,0.0,2008,0
146,25,16,10,19,0.0,2008,0
147,25,18,11,\N,0.0,2008,0
148,26,1,1,1,10.0,2008,3
149,26,2,2,2,8.0,2008,0
150,26,22,11,3,6.0,2008,0
151,26,8,6,4,5.0,2008,2
152,26,5,1,5,4.0,2008,0
153,26,4,4,6,3.0,2008,0
154,26,15,7,7,2.0,2008,0
155,26,6,3,8,1.0,2008,0
156,26,3,3,9,0.0,2008,0
157,26,17,9,10,0.0,2008,0
158,26,7,5,11,0.0,2008,0
159,26,10,7,12,0.0,2008,0
160,26,13,6,13,0.0,2008,3
161,26,9,2,\N,0.0,2008,1
162,26,18,11,\N,0.0,2008,0
163,26,12,4,\N,0.0,2008,0
164,26,21,10,\N,0.0,2008,0
165,26,16,10,\N,0.0,2008,0
166,26,20,5,\N,0.0,2008,0
167,26,14,9,\N,0.0,2008,0
168,27,1,1,1,10.0,2008,4
169,27,12,4,2,8.0,2008,0
170,27,13,6,3,6.0,2008,3
171,27,2,2,4,5.0,2008,0
172,27,5,1,5,4.0,2008,0
173,27,8,6,6,3.0,2008,2
174,27,9,2,7,2.0,2008,1
175,27,20,5,8,1.0,2008,0
176,27,15,7,9,0.0,2008,0
177,27,3,3,10,0.0,2008,0
178,27,4,4,11,0.0,2008,0
179,27,7,5,12,0.0,2008,0
180,27,14,9,13,0.0,2008,0
181,27,6,3,14,0.0,2008,0
182,27,16,10,15,0.0,2008,0
183,27,21,10,16,0.0,2008,0
184,27,18,11,17,0.0,2008,0
185,27,22,11,\N,0.0,2008,0
186,27,17,9,\N,0.0,2008,0
187,27,10,7,\N,0.0,2008,0
188,28,5,1,1,10.0,2008,1
189,28,10,7,2,8.0,2008,0
190,28,8,6,3,6.0,2008,2
191,28,4,4,4,5.0,2008,0
192,28,1,1,5,4.0,2008,4
193,28,12,4,6,3.0,2008,0
194,28,15,7,7,2.0,2008,0
195,28,9,2,8,1.0,2008,1
196,28,17,9,9,0.0,2008,0
197,28,2,2,10,0.0,2008,0
198,28,14,9,11,0.0,2008,0
199,28,18,11,12,0.0,2008,0
200,28,6,3,13,0.0,2008,0
201,28,3,3,14,0.0,2008,0
202,28,21,10,15,0.0,2008,0
203,28,22,11,16,0.0,2008,0
204,28,13,6,17,0.0,2008,3
205,28,7,5,18,0.0,2008,0
206,28,16,10,\N,0.0,2008,0
207,28,20,5,\N,0.0,2008,0
208,29,13,6,1,10.0,2008,4
209,29,1,1,2,8.0,2008,4
210,29,9,2,3,6.0,2008,1
211,29,5,1,4,5.0,2008,1
212,29,15,7,5,4.0,2008,0
213,29,20,5,6,3.0,2008,0
214,29,10,7,7,2.0,2008,0
215,29,3,3,8,1.0,2008,0
216,29,2,2,9,0.0,2008,0
217,29,7,5,10,0.0,2008,0
218,29,12,4,11,0.0,2008,0
219,29,17,9,12,0.0,2008,0
220,29,18,11,13,0.0,2008,0
221,29,21,10,14,0.0,2008,0
222,29,6,3,15,0.0,2008,0
223,29,22,11,16,0.0,2008,0
224,29,14,9,17,0.0,2008,0
225,29,8,6,\N,0.0,2008,2
226,29,16,10,\N,0.0,2008,0
227,29,4,4,\N,0.0,2008,0
228,30,13,6,1,10.0,2008,5
229,30,2,2,2,8.0,2008,0
230,30,1,1,3,6.0,2008,4
231,30,4,4,4,5.0,2008,0
232,30,20,5,5,4.0,2008,0
233,30,9,2,6,3.0,2008,1
234,30,7,5,7,2.0,2008,0
235,30,17,9,8,1.0,2008,0
236,30,10,7,9,0.0,2008,0
237,30,5,1,10,0.0,2008,1
238,30,14,9,11,0.0,2008,0
239,30,3,3,12,0.0,2008,0
240,30,16,10,13,0.0,2008,0
241,30,6,3,14,0.0,2008,0
242,30,18,11,15,0.0,2008,0
243,30,15,7,16,0.0,2008,0
244,30,21,10,17,0.0,2008,0
245,30,8,6,18,0.0,2008,2
246,30,22,11,\N,0.0,2008,0
247,30,12,4,\N,0.0,2008,0
248,31,20,5,1,10.0,2008,1
249,31,5,1,2,8.0,2008,1
250,31,9,2,3,6.0,2008,1
251,31,4,4,4,5.0,2008,0
252,31,2,2,5,4.0,2008,0
253,31,13,6,6,3.0,2008,5
254,31,1,1,7,2.0,2008,4
255,31,17,9,8,1.0,2008,0
256,31,8,6,9,0.0,2008,2
257,31,12,4,10,0.0,2008,0
258,31,10,7,11,0.0,2008,0
259,31,6,3,12,0.0,2008,0
260,31,15,7,13,0.0,2008,0
261,31,3,3,14,0.0,2008,0
262,31,18,11,15,0.0,2008,0
263,31,14,9,16,0.0,2008,0
264,31,22,11,17,0.0,2008,0
265,31,7,5,18,0.0,2008,0
266,31,16,10,19,0.0,2008,0
267,31,21,10,\N,0.0,2008,0
268,32,4,4,1,10.0,2008,1
269,32,3,3,2,8.0,2008,0
270,32,1,1,3,6.0,2008,4
271,32,10,7,4,5.0,2008,0
272,32,20,5,5,4.0,2008,1
273,32,2,2,6,3.0,2008,0
274,32,14,9,7,2.0,2008,0
275,32,6,3,8,1.0,2008,0
276,32,18,11,9,0.0,2008,0
277,32,5,1,10,0.0,2008,1
278,32,9,2,11,0.0,2008,1
279,32,7,5,12,0.0,2008,0
280,32,13,6,13,0.0,2008,5
281,32,21,10,14,0.0,2008,0
282,32,8,6,15,0.0,2008,2
283,32,15,7,\N,0.0,2008,0
284,32,16,10,\N,0.0,2008,0
285,32,17,9,\N,0.0,2008,0
286,32,22,11,\N,0.0,2008,0
287,32,12,4,\N,0.0,2008,0
288,33,4,4,1,10.0,2008,2
289,33,9,2,2,8.0,2008,1
290,33,8,6,3,6.0,2008,2
291,33,12,4,4,5.0,2008,0
292,33,15,7,5,4.0,2008,0
293,33,20,5,6,3.0,2008,1
294,33,13,6,7,2.0,2008,5
295,33,17,9,8,1.0,2008,0
296,33,2,2,9,0.0,2008,0
297,33,7,5,10,0.0,2008,0
298,33,3,3,11,0.0,2008,0
299,33,1,1,12,0.0,2008,4
300,33,22,11,13,0.0,2008,0
301,33,18,11,14,0.0,2008,0
302,33,6,3,15,0.0,2008,0
303,33,21,10,\N,0.0,2008,0
304,33,5,1,\N,0.0,2008,1
305,33,16,10,\N,0.0,2008,0
306,33,10,7,\N,0.0,2008,0
307,33,14,9,\N,0.0,2008,0
308,34,1,1,1,10.0,2008,5
309,34,13,6,2,8.0,2008,5
310,34,8,6,3,6.0,2008,2
311,34,4,4,4,5.0,2008,2
312,34,2,2,5,4.0,2008,0
313,34,9,2,6,3.0,2008,1
314,34,10,7,7,2.0,2008,0
315,34,12,4,8,1.0,2008,0
316,34,20,5,9,0.0,2008,1
317,34,14,9,10,0.0,2008,0
318,34,22,11,11,0.0,2008,0
319,34,6,3,12,0.0,2008,0
320,34,7,5,13,0.0,2008,0
321,34,17,9,14,0.0,2008,0
322,34,3,3,15,0.0,2008,0
323,34,18,11,16,0.0,2008,0
324,34,21,10,17,0.0,2008,0
325,34,5,1,\N,0.0,2008,1
326,34,16,10,\N,0.0,2008,0
327,34,15,7,\N,0.0,2008,0
328,35,13,6,1,10.0,2008,6
329,35,4,4,2,8.0,2008,2
330,35,8,6,3,6.0,2008,2
331,35,20,5,4,5.0,2008,1
332,35,1,1,5,4.0,2008,5
333,35,10,7,6,3.0,2008,0
334,35,5,1,7,2.0,2008,1
335,35,15,7,8,1.0,2008,0
336,35,17,9,9,0.0,2008,0
337,35,2,2,10,0.0,2008,0
338,35,9,2,11,0.0,2008,1
339,35,3,3,12,0.0,2008,0
340,35,18,11,13,0.0,2008,0
341,35,7,5,14,0.0,2008,0
342,35,22,11,15,0.0,2008,0
343,35,16,10,16,0.0,2008,0
344,35,6,3,17,0.0,2008,0
345,35,21,10,18,0.0,2008,0
346,35,12,4,\N,0.0,2008,0
347,35,14,9,\N,0.0,2008,0
348,36,8,6,1,10.0,2007,1
349,36,4,1,2,8.0,2007,0
350,36,1,1,3,6.0,2007,0
351,36,2,2,4,5.0,2007,0
352,36,21,4,5,4.0,2007,0
353,36,13,6,6,3.0,2007,0
354,36,3,3,7,2.0,2007,0
355,36,23,7,8,1.0,2007,0
356,36,15,7,9,0.0,2007,0
357,36,5,4,10,0.0,2007,0
358,36,22,11,11,0.0,2007,0
359,36,11,8,12,0.0,2007,0
360,36,17,9,13,0.0,2007,0
361,36,24,5,14,0.0,2007,0
362,36,18,11,15,0.0,2007,0
363,36,19,8,16,0.0,2007,0
364,36,16,12,17,0.0,2007,0
365,37,4,1,1,10.0,2007,1
366,37,1,1,2,8.0,2007,0
367,37,8,6,3,6.0,2007,1
368,37,2,2,4,5.0,2007,0
369,37,13,6,5,4.0,2007,0
370,37,21,4,6,3.0,2007,0
371,37,15,7,7,2.0,2007,0
372,37,5,4,8,1.0,2007,0
373,37,25,3,9,0.0,2007,0
374,37,17,9,10,0.0,2007,0
375,37,22,11,11,0.0,2007,0
376,37,18,11,12,0.0,2007,0
377,37,11,8,13,0.0,2007,0
378,37,26,5,14,0.0,2007,0
379,37,23,7,15,0.0,2007,0
380,37,19,8,16,0.0,2007,0
