,circuitId,name,country,location,lat,lng,alt
64,65,Pescara Circuit,Italy,Pescara,42.475,14.1508,129
65,66,Circuit Bremgarten,Switzerland,Bern,46.9589,7.40194,551
66,67,Circuit de Pedralbes,Spain,Barcelona,41.3903,2.11667,85
67,68,Buddh International Circuit,India,Uttar Pradesh,28.3487,77.5331,194
68,69,Circuit of the Americas,USA,Austin,30.1328,-97.6411,161
69,70,Red Bull Ring,Austria,Spielberg,47.2197,14.7647,678
70,71,Sochi Autodrom,Russia,Sochi,43.4057,39.9578,2
71,73,Baku City Circuit,Azerbaijan,Baku,40.3725,49.8533,-7
72,75,Autódromo Internacional do Algarve,Portugal,Portimão,37.227,-8.6267,108
73,76,Autodromo Internazionale del Mugello,Italy,Mugello,43.9975,11.3719,255
74,77,Jeddah Corniche Circuit,Saudi Arabia,Jeddah,21.6319,39.1044,15
75,78,Losail International Circuit,Qatar,Al Daayen,25.49,51.4542,\N
76,79,Miami International Autodrome,USA,Miami,25.9581,-80.2389,\N
