,constructorId,name
0,1,McLaren
1,2,BMW Sauber
2,3,Williams
3,4,Renault
4,5,Toro Rosso
5,6,Ferrari
6,7,Toyota
7,8,Super Aguri
8,9,Red Bull
9,10,Force India
10,11,Honda
11,12,Spyker
12,13,MF1
13,14,Spyker MF1
14,15,Sauber
15,16,BAR
16,17,Jordan
17,18,Minardi
18,19,Jaguar
19,20,Prost
20,21,Arrows
21,22,Benetton
22,23,Brawn
23,24,Stewart
24,25,Tyrrell
25,26,Lola
26,27,Ligier
27,28,Forti
28,29,Footwork
29,30,Pacific
30,31,Simtek
31,32,Team Lotus
32,33,Larrousse
33,34,Brabham
34,35,Dallara
35,36,Fondmetal
36,37,March
37,38,Andrea Moda
38,39,AGS
39,40,Lambo
40,41,Leyton House
41,42,Coloni
42,44,Euro Brun
43,45,Osella
44,46,Onyx
45,47,Life
46,48,Rial
47,49,Zakspeed
48,50,RAM
49,51,Alfa Romeo
50,52,Spirit
51,53,Toleman
52,54,ATS
53,55,Theodore
54,56,Fittipaldi
55,57,Ensign
56,58,Shadow
57,59,Wolf
58,60,Merzario
59,61,Kauhsen
60,62,Rebaque
61,63,Surtees
62,64,Hesketh
63,65,Martini
64,66,BRM
65,67,Penske
66,68,LEC
67,69,McGuire
68,70,Boro
69,71,Apollon
70,72,Kojima
71,73,Parnelli
72,74,Maki
73,75,Embassy Hill
74,76,Lyncar
75,77,Trojan
76,78,Amon
77,79,Token
78,80,Iso Marlboro
79,81,Tecno
80,82,Matra
81,83,Politoys
82,84,Connew
83,85,Bellasi
84,86,De Tomaso
85,87,Cooper
86,88,Eagle
87,89,LDS
88,90,Protos
89,91,Shannon
90,92,Scirocco
91,93,RE
92,94,BRP
93,95,Porsche
94,96,Derrington
95,97,Gilby
96,98,Stebro
97,99,Emeryson
98,100,ENB
99,101,JBW
100,102,Ferguson
101,103,MBM
102,104,Behra-Porsche
103,105,Maserati
104,106,Scarab
105,107,Watson
106,108,Epperly
107,109,Phillips
108,110,Lesovsky
109,111,Trevis
110,112,Meskowski
111,113,Kurtis Kraft
112,114,Kuzma
113,115,Christensen
114,116,Ewing
115,117,Aston Martin
116,118,Vanwall
117,119,Moore
118,120,Dunn
119,121,Elder
120,122,Sutton
121,123,Fry
122,124,Tec-Mec
123,125,Connaught
124,126,Alta
125,127,OSCA
126,128,Gordini
127,129,Stevens
128,130,Bugatti
129,131,Mercedes
130,132,Lancia
131,133,HWM
132,134,Schroeder
133,135,Pawl
134,136,Pankratz
135,137,Arzani-Volpini
136,138,Nichels
137,139,Bromme
138,140,Klenk
139,141,Simca
140,142,Turner
141,143,Del Roy
142,144,Veritas
143,145,BMW
144,146,EMW
145,147,AFM
146,148,Frazer Nash
147,149,Sherman
148,150,Deidt
149,151,ERA
150,152,Aston Butterworth
151,153,Cisitalia
152,154,Talbot-Lago
153,155,Hall
154,156,Marchese
155,157,Langley
156,158,Rae
157,159,Olson
158,160,Wetteroth
159,161,Adams
160,162,Snowberger
161,163,Milano
162,164,HRT
163,167,Cooper-Maserati
164,166,Virgin
165,168,Cooper-OSCA
166,169,Cooper-Borgward
167,170,Cooper-Climax
168,171,Cooper-Castellotti
169,172,Lotus-Climax
170,173,Lotus-Maserati
171,174,De Tomaso-Osca
172,175,De Tomaso-Alfa Romeo
173,176,Lotus-BRM
174,177,Lotus-Borgward
175,178,Cooper-Alfa Romeo
176,179,De Tomaso-Ferrari
177,180,Lotus-Ford
178,181,Brabham-BRM
179,182,Brabham-Ford
180,183,Brabham-Climax
181,184,LDS-Climax
182,185,LDS-Alfa Romeo
183,186,Cooper-Ford
184,187,McLaren-Ford
185,188,McLaren-Serenissima
186,189,Eagle-Climax
187,190,Eagle-Weslake
188,191,Brabham-Repco
189,192,Cooper-Ferrari
190,193,Cooper-ATS
191,194,McLaren-BRM
192,195,Cooper-BRM
193,196,Matra-Ford
194,197,BRM-Ford
195,198,McLaren-Alfa Romeo
196,199,March-Alfa Romeo
197,200,March-Ford
198,201,Lotus-Pratt &amp; Whitney
199,202,Shadow-Ford
200,203,Shadow-Matra
201,204,Brabham-Alfa Romeo
202,205,Lotus
203,206,Marussia
204,207,Caterham
205,208,Lotus F1
206,209,Manor Marussia
207,210,Haas F1 Team
208,211,Racing Point
209,213,AlphaTauri
210,214,Alpine F1 Team
